0, 0 84 100 95;
1, 12 84 100 95;
2, 21 86 100 95;
3, 24 84 100 95;
4, 28 83 100 95;
5, 32 84 100 95;
6, 36 86 100 95;
7, 45 84 100 95;
8, 0 82 100 95;
9, 12 87 100 95;
10, 24 75 100 95;
11, 0 80 100 95;
12, 12 80 100 95;
13, 21 82 100 95;
14, 24 80 100 95;
15, 28 79 100 95;
16, 32 80 100 95;
17, 36 82 100 95;
18, 45 80 100 95;
19, 0 79 100 95;
20, 0 77 100 95;
21, 12 77 100 95;
22, 21 79 100 95;
23, 24 77 100 95;
24, 28 76 100 95;
25, 32 77 100 95;
26, 36 79 100 95;
27, 45 77 100 95;
28, 0 75 100 95;
29, 12 82 100 95;
30, 24 75 100 95;
31, 42 79 100 95;
32, 0 80 100 95;
33, 9 82 100 95;
34, 12 80 100 95;
35, 21 82 100 95;
36, 24 79 100 95;
37, 36 79 100 95;
38, 0 75 100 95;
39, 0 70 100 95;
40, 12 82 100 95;
41, 24 80 100 95;
42, 33 79 100 95;
43, 36 77 100 95;
44, 45 75 100 95;
45, 0 72 100 95;
46, 12 79 100 95;
47, 24 77 100 95;
48, 33 74 100 95;
49, 36 72 100 95;
50, 45 70 100 95;
51, 0 70 100 95;
52, 12 82 100 95;
53, 24 80 100 95;
54, 33 79 100 95;
55, 36 77 100 95;
56, 45 75 100 95;
57, 0 72 100 95;
58, 12 79 100 95;
59, 24 77 100 95;
60, 33 75 100 95;
61, 36 72 100 95;
62, 45 75 100 95;
63, 0 80 100 95;
64, 9 79 100 95;
65, 12 77 100 95;
66, 21 75 100 95;
67, 24 72 100 95;
68, 33 75 100 95;
69, 36 77 100 95;
70, 45 79 100 95;
71, 0 80 100 95;
72, 9 79 100 95;
73, 12 77 100 95;
74, 21 75 100 95;
75, 24 71 100 95;
76, 33 75 100 95;
77, 36 77 100 95;
78, 45 80 100 95;
79, 0 79 100 95;
80, 9 77 100 95;
81, 12 79 100 95;
82, 21 75 100 95;
83, 0 82 100 95;
84, 9 79 100 95;
85, 12 75 100 95;
86, 21 72 100 95;
87, 33 70 100 95;
88, 36 72 100 95;
89, 45 75 100 95;
90, 0 80 100 95;
91, 9 79 100 95;
92, 12 77 100 95;
93, 21 75 100 95;
94, 24 72 100 95;
95, 33 75 100 95;
96, 36 77 100 95;
97, 45 80 100 95;
98, 0 80 100 95;
99, 9 79 100 95;
100, 12 77 100 95;
101, 21 75 100 95;
102, 24 71 100 95;
103, 33 75 100 95;
104, 36 77 100 95;
105, 45 80 100 95;
106, 0 82 100 95;
107, 9 82 100 95;
108, 21 82 100 95;
109, 36 81 100 95;
110, 0 80 100 95;
111, 0 70 100 95;
112, 12 82 100 95;
113, 24 80 100 95;
114, 33 79 100 95;
115, 36 77 100 95;
116, 45 75 100 95;
117, 0 72 100 95;
118, 12 79 100 95;
119, 24 77 100 95;
120, 33 74 100 95;
121, 36 72 100 95;
122, 45 70 100 95;
123, 0 70 100 95;
124, 12 82 100 95;
125, 24 80 100 95;
126, 33 79 100 95;
127, 36 77 100 95;
128, 45 75 100 95;
129, 0 72 100 95;
130, 12 79 100 95;
131, 24 77 100 95;
132, 33 75 100 95;
133, 36 72 100 95;
134, 45 75 100 95;
